Number	Line1	Line2	Translation	mv	sp	mk	explanation	couplet	transliteration1	transliteration2
179	அறனறிந்து வெஃகா அறிவுடையார்ச் சேரும்	திறன்அறிந் தாங்கே திரு.	Fortune seeks the just and wise  Who are free from coveting vice	அறம் இஃது என்று அறிந்து பிறர் பொருளை விரும்பாத அறிவுடையாரைத் திருமகள் தான் சேரும் திறன் அறிந்து அதற்கு ஏற்றவாறு சேர்வாள்.	பிறர் பொருளுக்கு ஆசைப்படாதிருப்பதே அறம் என்னும் அறிவுடையோரின் பெருமையை அறிந்து, திருமகள் தானே அவரிடம் போய் இருப்பாள்.	பிறர் பொருளைக் கவர விரும்பாத அறநெறி உணர்ந்த அறிஞர் பெருமக்களின் ஆற்றலுக்கேற்ப அவர்களிடம் செல்வம் சேரும்	Lakshmi, knowing the manner (in which she may approach) will immediately come to those wise men who, knowing that it is virtue, covet not the property of others	Good fortune draws anigh in helpful time of need,To him who, schooled in virtue, guards his soul from greed	Aranarindhu Veqkaa Arivutaiyaarch Cherum	Thiranarin Thaange Thiru
180	இறலீனும் எண்ணாது வெஃகின் விறல்ஈனும்	வேண்டாமை என்னுஞ் செருக்கு.	Desireless, greatness conquers all;  Coveting misers ruined fall	வி‌ளைவை எண்ணாமல் பிறர் பொருளை விரும்பினால் அஃது அழிவைத் தரும்; அப்பொருளை விரும்பாமல் வாழும் பெருமை வெற்றியைத் தரும்.	பின் வி‌ளைவை எண்ணாமல் அடுத்தவர் பொருளை விரும்பிக் கவர்ந்தால், அது நமக்கு அழிவைக் கொடுக்கும்; அதற்கு ஆசைப்படாத செல்வமோ வெற்றியைக் கொடுக்கும்‌.	விளைவுகளைப் பற்றி நினைக்காமல் பிறர் பொருளைக் கவர்ந்துகொள்ள விரும்பினால் அழிவும், அத்தகைய விருப்பம் கொள்ளாதிருந்தால் வாழ்க்கையில் வெற்றியும் கிட்டும்	To covet (the wealth of another) regardless of consequences will bring destruction That greatness (of mind) which covets not will give victory	From thoughtless lust of other's goods springs fatal ill,Greatness of soul that covets not shall triumph still	Iraleenum Ennaadhu Veqkin Viraleenum	Ventaamai Ennunj Cherukku
181	அறங்கூறான் அல்ல செயினும் ஒருவன்	புறங்கூறான் என்றல் இனிது.	Though a man from virtue strays,  To keep from slander brings him praise	ஒருவன் அறத்தைப் போற்றிக் கூறாதவனாய் அறமல்லாதவற்றைச் செய்தாலும், மற்றவனைப் பற்றிப் புறங்கூறாமல் இருக்கிறான் என்று சொல்லப்படுதல் நல்லது.	ஒருவன் அறத்தைச் சொல்லாமல் பாவமே செய்தாலும், அடுத்தவரைப் பற்றிப் புறம் பேசமாட்டான் என்றால் அதுவே அவனுக்கு நல்லது	அறநெறியைப் போற்றாமலும், அவ்வழியில் நடக்காமலும்கூட இருக்கின்ற சிலர் மற்றவர்களைப் பற்றிப் புறம் பேசாமல் இருந்தால், அது அவர்களுக்கு நல்லது	Though one do not even speak of virtue and live in sin, it will be well if it be said of him he does not backbite.	Though virtuous words his lips speak not, and all his deeds are illIf neighbour he defame not, there's good within him still	Arangooraan Alla Seyinum Oruvan	Purangooraan Endral Inidhu
182	அறனழீஇ அல்லவை செய்தலின் தீதே	புறனழீஇப் பொய்த்து நகை.	Who bite behind, and before smile  Are worse than open traitors vile	அறத்தை அழித்துப் பேசி அறமல்லாதவைகளைச் செய்வதை விட, ஒருவன் இல்லாதவிடத்தில் அவனைப் பழித்துப் பேசி நேரில் பொய்யாக முகமலர்ந்து பேசுதல் தீமையாகும்.	அறம் என்பதே இல்லை என அடித்துப் பேசிப் பாவத்தைச் செய்வதைக் காட்டிலும் ஒருவனைக் காணாதபோது புறம்பேசிக் காணும்போது பொய்யாகச் சிரிப்பது பெருங்கேடு.	ஒருவரை நேரில் பார்க்கும் பொழுது பொய்யாகச் சிரித்துப் பேசிவிட்டு, அவர் இல்லாத இடத்தில் அவரைப் பற்றிப் பொல்லாங்கு பேசுவது அறவழியைப் புறக்கணித்து விட்டு, அதற்கு மாறான காரியங்களைச் செய்வதைவிடக் கொடுமையானது	To smile deceitfully (in another's presence) after having reviled him to his destruction (behind his back) is a greater evil than the commission of (every other) sin and the destruction of (every) virtue	Than he who virtue scorns, and evil deeds performs, more vile,Is he that slanders friend, then meets him with false smile	Aranazheei Allavai Seydhalin Theedhe	Puranazheeip Poiththu Nakai
183	புறங்கூறிப் பொய்த்துயிர் வாழ்தலின் சாதல்	அறங்கூற்றும் ஆக்கத் தரும்.	Virtue thinks it better to die,  Than live to backbite and to lie	புறங்கூறிப் பொய்யாக நடந்து உயிர் வாழ்தலை விட, அவ்வாறு செய்யாமல் வறுமையுற்று இறந்து விடுதல், அறநூல்கள் சொல்லும் ஆக்கத்தைத் தரும்‌‌.	காணாதபோது ஒருவனைப் பற்றிப் புறம்பேசிக், காணும்போது பொய்யாக அவனுடன் பேசி வாழ்வதைக் காட்டிலும் இறந்து போவது அற நூல்கள் கூறும் உயர்வைத் தரும்.	கண்ட இடத்தில் ஒன்றும், காணாத இடத்தில் வேறொன்றுமாகப் புறங்கூறிப் பொய்மையாக நடந்து உயிர் வாழ்வதைவிடச் சாவது நன்று	Death rather than life will confer upon the deceitful backbiter the profit which (the treatises on) virtue point out	Tis greater gain of virtuous good for man to die,Than live to slander absent friend, and falsely praise when nigh	Purangoorip Poiththuyir Vaazhdhalin Saadhal	Arangootrum Aakkath Tharum
184	கண்ணின்று கண்ணறச் சொல்லினும் சொல்லற்க	முன்னின்று பின்நோக்காச் சொல்.	Though harsh you speak in one's presence  Abuse is worse in his absence	எதிரே நின்று கண்ணோ‌ட்டம் இல்லாமல் கடுமையாகச் சொன்னாலும் சொல்லலாம்; நேரில் இல்லாதபோது பின் விளைவை ஆராயாத சொல்லைச் சொல்லக்கூடாது.	ஒருவன் முகத்திற்கு எதிரே முகதாட்சணியம் இல்லாமல் பேசினாலும், அவன் எதிரில் இல்லாமல் இருக்கும்போது பின்விளைவை எண்ணாமல் அவனைப் பற்றிப் பேச வேண்டா.	நேருக்கு நேராக ஒருவரது குறைகளைக் கடுமையாகச் சொன்னாலும் சொல்லலாம், ஆனால் பின் விளைவுகளை எண்ணிப் பார்க்காமல் நேரில் இல்லாத ஒருவரைப் பற்றிக் குறை கூறுவது தவறு	Though you speak without kindness before another's face speak not in his absence words which regard not the evil subsequently resulting from it	In presence though unkindly words you speak, say notIn absence words whose ill result exceeds your thought	Kannindru Kannarach Chollinum Sollarka	Munnindru Pinnokkaach Chol
185	அறஞ்சொல்லும் நெஞ்சத்தான் அன்மை புறஞ்சொல்லும்	புன்மையாற் காணப் படும்.	Who turns to slander makes it plain  His praise of virtue is in vain	அறத்தை நல்லதென்று போற்றும் நெஞ்சம் இல்லாததன்மை, ஒருவன் மற்றவனைப் பற்றிப் புறங்கூறுகின்ற சிறுமையால் காணப்படும்.	அறத்தைப் பெரிதாகப் பேசும் ஒருவன் மனத்தால் அறவோன் அல்லன் என்பதை அவன் புறம்பேசும் இழிவினைக் கொண்டு கண்டுகொள்ளலாம்.	ஒருவன் பிறரைப்பற்றிப் புறம் பேசுகிற சிறுமைத்தன்மையைக்கொண்டே அவன் அறவழி நிற்பவன் அல்லன் என்பதை எளிதில் தெரிந்து கொள்ளலாம்	The emptiness of that man's mind who (merely) praises virtue will be seen from the meanness of reviling another behind his back	The slanderous meanness that an absent friend defames,'This man in words owns virtue, not in heart,' proclaims	Aranjollum Nenjaththaan Anmai Puranjollum	Punmaiyaar Kaanap Patum
186	பிறன்பழி கூறுவான் தன்பழி யுள்ளும்	திறன்தெரிந்து கூறப் படும்.	His failings will be found and shown,  Who makes another's failings known	மற்றவனைப் பற்றிப் புறங்கூறுகின்றவன், அவனுடைய பழிகள் பலவற்றிலும் நோகத்தக்கவை ஆராய்ந்து கூறிப் பிறரால் பழிக்கப்படுவான்.	அடுத்தவன் குறையை அவன் இல்லாத போது எவன் கூறுகிறானோ, அவனது குறை அவன் இல்லாதபோது இன்னொருவனால் கூறப்படும்.	பிறர்மீது ஒருவன் புறங்கூறித் திரிகிறான் என்றால் அவனது பழிச் செயல்களை ஆராய்ந்து அவற்றில் கொடுமையானவைகளை அவன் மீது கூற நேரிடும்	The character of the faults of that man who publishes abroad the faults of others will be sought out and published	Who on his neighbours' sins delights to dwell,The story of his sins, culled out with care, the world will tell	Piranpazhi Kooruvaan Thanpazhi Yullum	Thirandherindhu Koorap Patum
187	பகச்சொல்லிக் கேளிர்ப் பிரிப்பர் நகச்சொல்லி	நட்பாடல் தேற்றா தவர்.	By pleasing words who make not friends  Sever their hearts by hostile trends	மகிழும்படியாகப் பேசி நட்புக் கொள்ளுதல் நன்மை என்று தெளியாதவர் தம்மை விட்டு நீங்கும்படியாகப் புறம் கூறி நண்பரையும் பிரித்து விடுவர்.	கூடி மகிழுமாறு இனியன பேசி நட்பை வளர்க்கத் தெரியாதவர், புறம்பேசி நண்பர்களையும் பிரித்து விடுவர்.	இனிமையாகப் பழகி நட்புறவைத் தொடரத் தெரியாதவர்கள், நட்புக் கெடுமளவுக்குப் புறங்கூறி நண்பர்களை இழந்து விடுவார்கள்	Those who know not to live in friendship with amusing conversation will by back-biting estrange even their relatives	With friendly art who know not pleasant words to say,Speak words that sever hearts, and drive choice friends away	Pakachchollik Kelirp Pirippar Nakachcholli	Natpaatal Thetraa Thavar
188	துன்னியார் குற்றமும் தூற்றும் மரபினார்	என்னைகொல் ஏதிலார் மாட்டு.	What will they not to strangers do  Who bring their friends' defects to view?	நெருங்கிப் பழகியவரின் குற்றத்தையும் புறங்கூறித் தூற்றும் இயல்புடையவர், பழகாத அயலாரிடத்து என்ன செய்வாரோ?	தன்னோடு நெருக்கமானவர்களின் குற்றத்தையும் அவர் இல்லாத நேரம் பேசும் இயல்புடையவர்கள், அயலார் காரியத்தில் என்னதான் பேசமாட்டார்கள்!	நெருங்கிப் பழகியவரின் குறையைக்கூடப் புறம் பேசித் தூற்றுகிற குணமுடையவர்கள் அப்படிப் பழகாத அயலாரைப் பற்றி என்னதான் பேச மாட்டார்கள்?	What will those not do to strangers whose nature leads them to publish abroad the faults of their intimate friends ?	Whose nature bids them faults of closest friends proclaimWhat mercy will they show to other men's good name	Thunniyaar Kutramum Thootrum Marapinaar	Ennaikol Edhilaar Maattu
189	அறன்நோக்கி ஆற்றுங்கொல் வையம் புறன்நோக்கிப்	புன்சொல் உரைப்பான் பொறை.	The world in mercy bears his load  Who rants behind words untoward	ஒருவர் நேரில் இல்லாதது கண்டு பழிச்‌சொல் கூறுவோனுடைய உடல் பாரத்தை, இவனையும் சுமப்பதே எனக்கு அறம் என்று கருதி நிலம் சுமக்கின்றதோ?	பிறர் இல்லாதபோது அவரைப் பழிக்கும் இழிசொற்களைப் பேசுபவனின் உடல் பாரத்தை இவனையும் சுமப்பதே என் தருமம் என்றெண்ணி இப்பூமி சுமக்கிறது போலும்!	ஒருவர் நேரில் இல்லாதபோது பழிச்சொல் கூறுவோனுடைய உடலை `இவனைச் சுமப்பதும் அறமே' என்று கருதித்தான் நிலம் சுமக்கிறது	The world through charity supports the weight of those who reproach others observing their absence	Tis charity, I ween, that makes the earth sustain their loadWho, neighbours' absence watching, tales or slander tell abroad	Arannokki Aatrungol Vaiyam Purannokkip	Punsol Uraippaan Porai
190	ஏதிலார் குற்றம்போல் தங்குற்றங் காண்கிற்பின்	தீதுண்டோ மன்னும் உயிர்க்கு.	No harm would fall to any man  If each his own defect could scan	அயலாருடைய குற்றத்தைக் காண்பது போல் தம் குற்றத்தையும் காண வல்லவரானால், நிலைபெற்ற உயிர் வாழ்க்கைக்குத் துன்பம் உண்ட‌ோ?	புறம்பேச அடுத்தவர் குற்றத்தைப் பார்ப்பவர், பேசும் தம் குற்றத்தையும் எண்ணினால், நிலைத்து இருக்கும் உயிர்க்குத் துன்பமும் வருமோ?	பிறர் குற்றத்தைக் காண்பவர்கள் தமது குற்றத்தையும் எண்ணிப் பார்ப்பார்களேயானால் புறங்கூறும் பழக்கமும் போகும்; வாழ்க்கையும் நிம்மதியாக அமையும்	If they observed their own faults as they observe the faults of others, would any evil happen to men ?	If each his own, as neighbours' faults would scan,Could any evil hap to living man	Edhilaar Kutrampol Thangutrang Kaankirpin	Theedhunto Mannum Uyirkku
191	பல்லார் முனியப் பயனில சொல்லுவான்	எல்லாரும் எள்ளப் படும்.	With silly words who insults all  Is held in contempt as banal	கேட்டவர் பலரும் வெறுக்கும் படியாகப் பயனில்லாத சொற்களைச் சொல்லுகின்றவன், எல்லாராலும் இகழப்படுவான்	பலரும் கேட்டு வெறுக்கப், பயனற்ற சொற்களைச் சொல்லுபவன் எல்லாராலும் இகழப்படுவான்.	பலரும் வெறுக்கும்படியான பயனற்ற சொற்களைப் பேசுபவரை எல்லோரும் இகழ்ந்துரைப்பார்கள்	He who to the disgust of many speaks useless things will be despised by all	Words without sense, while chafe the wise,Who babbles, him will all despise	Pallaar Muniyap Payanila Solluvaan	Ellaarum Ellap Patum
192	பயனில பல்லார்முன் சொல்லல் நயனில	நட்டார்கண் செய்தலிற் றீது.	Vain talk before many is worse  Than doing to friends deeds adverse	பலர் முன்னே பயனில்லாத சொற்களைச் சொல்லுதல், நண்பரிடத்தில் அறம் இல்லா செயல்களைச் செய்தலை விடத் தீமையானதாகும்.	ஒருவன் பலருக்கும் முன்னே பயனற்ற சொற்களைச் சொல்வது, நண்பர்களுக்குத் தீமை செய்வதைக் காட்டிலும் கொடியது.	பலர்முன் பயனில்லாத சொற்களைக் கூறுவது, நட்புக்கு மாறாகச் செயல்படுவதைக் காட்டிலும் தீமையுடையதாகும்	To speak useless things in the presence of many is a greater evil than to do unkind things towards friends	Words without sense, where many wise men hear, to pourThan deeds to friends ungracious done offendeth more	Payanila Pallaarmun Sollal Nayanila	Nattaarkan Seydhalir Reedhu
193	நயனிலன் என்பது சொல்லும் பயனில	பாரித் துரைக்கும் உரை.	The babbler's hasty lips proclaim  That \good-for-nothing\ is his name	ஒருவன் பயனில்லா பொருள்களைப் பற்றி விரிவாகச் சொல்லும் சொற்கள், அவன் அறம் இல்லாதவன் என்பதை அறிவிக்கும்.	பயனற்ற சொற்களை விரித்துப் பேசும் ஒருவன் பேச்சு அவன் நீதியற்றவன் என்பதைக் காட்டிவிடும்.	பயனற்றவைகளைப்பற்றி ஒருவன் விரிவாகப் பேசிக் கொண்டிருப்பதே அவனைப் பயனற்றவன் என்று உணர்த்தக் கூடியதாகும்	That conversation in which a man utters forth useless things will say of him he is without virtue.	Diffusive speech of useless words proclaimsA man who never righteous wisdom gains	Nayanilan Enpadhu Sollum Payanila	Paarith Thuraikkum Urai
194	நயன்சாரா நன்மையின் நீக்கும் பயன்சாராப்	பண்பில்சொல் பல்லா ரகத்து.	Vain words before an assembly  Will make all gains and goodness flee	பயனோடு பொருந்தாத பண்பு இல்லாத சொற்களைப் பலரிடத்தும் சொல்லுதல், அறத்தோடு பொருந்தாமல் நன்மையிலிருந்து நீங்கச் செய்யும்.	பயனற்ற, பண்பும் இல்லாத சொற்களை ஒருவன் பலரிடமும் சொன்னால் அச் சொற்களே அவனை நீதியுடன் சேராமல் நற்குணங்களிலிருந்து நீக்கிவிடும்.	பயனற்றதும், பண்பற்றதுமான சொற்களைப் பலர்முன் பகர்தல் மகிழ்ச்சியைக் குலைத்து, நன்மையை மாய்க்கும்	The words devoid of profit or pleasure which a man speaks will, being inconsistent with virtue,	Unmeaning, worthless words, said to the multitude,To none delight afford, and sever men from good	Nayansaaraa Nanmaiyin Neekkum Payansaaraap	Panpilsol Pallaa Rakaththu
195	சீர்மை சிறப்பொடு நீங்கும் பயனில	நீர்மை யுடையார் சொலின்.	Glory and grace will go away  When savants silly nonsense say	பயனில்லாத சொற்களை நல்ல பண்பு உடையவர் சொல்லுவாரானால், அவனுடைய மேம்பாடு அவர்க்குரிய மதிப்போடு நீங்கிவிடும்.	இனிய குணத்தவர் பயனற்ற சொற்களைச் சொன்னால், அவர் பெருமையும், புகழும் அப்பொழுதே நீங்கிவிடும்.	நல்ல பண்புடையவர் பயனில்லாத சொற்களைக் கூறுவாரானால் அவருடைய மேம்பாடு அவர்க்குரிய மதிப்போடு நீங்கி விடும்	If the good speak vain words their eminence and excellence will leave them	Gone are both fame and boasted excellence,When men of worth speak of words devoid of sense	Seermai Sirappotu Neengum Payanila	Neermai Yutaiyaar Solin
196	பயனில் சொல் பராட்டு வானை மகன்எனல்	மக்கட் பதடி யெனல்.	Call him a human chaff who prides  Himself in weightless idle words	பயனில்லாத சொற்களைப் பலமுறையும் சொல்லுகின்ற ஒருவனை மனிதன் என்று சொல்லக்கூடாது, மக்களுள் பதர் என்று சொல்லவேண்டும்.	பயனற்ற சொற்களையே பலகாலமும் சொல்பவனை மனிதன் என வேண்டா; மனிதருள் பதர் என்றே சொல்லுங்கள்.	பயனற்றவைகளைச் சொல்லிப் பயன்பெற நினைப்பவனை, மனிதன் என்பதைவிட அவன் ஒரு பதர் என்பதே பொருத்தமானதாகும்	Call not him a man who parades forth his empty words Call him the chaff of men	Who makes display of idle words' inanity,Call him not man, -chaff of humanity	Payanil Sol Paaraattu Vaanai	Makanenal Makkat Padhati Yenal
197	நயனில சொல்லினுஞ் சொல்லுக சான்றோர்	பயனில சொல்லாமை நன்று.	Let not men of worth vainly quack  Even if they would roughly speak	அறம் இல்லாதவற்றைச் சொன்னாலும் சொல்லலாம், சான்றோர் பயன் இல்லாத சொற்களைச் சொல்லாமல் இருத்தல் நன்மையாகும்.	நீதியற்ற சொற்களைச் சொன்னாலும் பயனற்ற சொற்களைச் சொல்லாமல் இருப்பது சான்றோர்க்கு நல்லது.	பண்பாளர்கள், இனிமையல்லாத சொற்களைக்கூடச் சொல்லி விடலாம்; ஆனால் பயனில்லாத சொற்களைச் சொல்லாமல் இருப்பதே நல்லது	Let the wise if they will, speak things without excellence; it will be well for them not to speak useless things	Let those who list speak things that no delight afford,'Tis good for men of worth to speak no idle word	Nayanila Sollinunj Cholluka Saandror	Payanila Sollaamai Nandru
198	அரும்பயன் ஆயும் அறிவினார் சொல்லார்	பெரும்பயன் இல்லாத சொல்.	The wise who weigh the worth refrain  From words that have no grain and brain	அருமையான பயன்களை ஆராயவல்ல அறிவை உடைய அறிஞர், மிக்க பயன் இல்லாத சொற்களை ஒருபோதும் சொல்லமாட்டார்	அரிய பயன்களை ஆராயும் அறிவுடையோர், பெரும்பயன் இல்லாத சொற்களைச் சொல்வார்.	அரும்பயன்களை ஆராய்ந்து அறியக்கூடிய ஆற்றல் படைத்தவர், பெரும்பயன் விளைவிக்காத எந்தச் சொல்லையும் பயன்படுத்த மாட்டார்	The wise who seek after rare pleasures will not speak words that have not much weight in them	The wise who weigh the worth of every utterance,Speak none but words of deep significance	Arumpayan Aayum Arivinaar Sollaar	Perumpayan Illaadha Sol
199	பொருள்தீர்ந்த பொச்சாந்துஞ் சொல்லார் மருள்தீர்ந்த	மாசறு காட்சி யவர்.	The wise of spotless self-vision  Slip not to silly words-mention	மயக்கத்திலிருந்து தெளிந்த மாசற்ற அறிவை உடையவர், பயன் நீங்கிய சொற்களை ஒருகால் மறந்தும் சொல்லமாட்டார்.	மயக்கமற்ற தூய அறிவினை உடையவர், பொருளற்ற சொற்களை மறந்தும் சொல்லார்.	மயக்கம் சிறிதுமில்லாத மாசற்ற அறிவுடையவர் மறந்தும்கூடப் பயனற்ற சொற்களைச் சொல்ல மாட்டார்	Those wise men who are without faults and are freed from ignorance will not even forgetfully speak things that profit not	The men of vision pure, from wildering folly free,Not e'en in thoughtless hour, speak words of vanity	Poruldheerndha Pochchaandhunj Chollaar Maruldheerndha	Maasaru Kaatchi Yavar
200	சொல்லுக சொல்லிற் பயனுடைய சொல்லற்க	சொல்லிற் பயனிலாச் சொல்.	To purpose speak the fruitful word  And never indulge in useless load	சொற்களில் பயன் உடைய சொற்களை மட்டுமே சொல்லவேண்டும், பயன் இல்லாதவைகளாகிய சொற்களை சொல்லவே கூடாது.	சொற்களில் அறம், பொருள், இன்பம் ஆகிய பயன்தரும் சொற்களையே சொல்லுக; பயனற்ற சொற்களைச் சொல்லவேண்டா.	பயனளிக்காத சொற்களை விடுத்து மனத்தில் பதிந்து பயனளிக்கக் கூடிய சொற்களையே கூற வேண்டும்	Speak what is useful, and speak not useless words	If speak you will, speak words that fruit afford,If speak you will, speak never fruitless word	Solluka Sollir Payanutaiya Sollarka	Sollir Payanilaach Chol
201	தீவினையார் அஞ்சார் விழுமியார் அஞ்சுவர்	தீவினை என்னும் செருக்கு.	Sinners fear not the pride of sin  The worthy dread the ill within	தீயவை செய்தலாகிய செருக்கைத் தீவினை உடைய பாவிகள் அஞ்சார், தீவினை இல்லாத மேலோர் மட்டுமே அஞ்சுவர்.	தீமை என்னும் மயக்கத்தைச் செய்ய, முன்னைத் தீவினை உடையவர் பயப்படமாட்டார்; பெரியவர்களோ பயப்படுவர்.	தீயவர்கள் தீவினை செய்ய அஞ்சமாட்டார்கள்; தீவினையால் மகிழ்ச்சி ஏற்படுவதாயினும் அதனைச் செய்திடச் சான்றோர் அஞ்சி நடுங்குவார்கள்	Those who have experience of evil deeds will not fear, but the excellent will fear the pride of sin	With sinful act men cease to feel the dread of ill within,The excellent will dread the wanton pride of cherished sin	Theevinaiyaar Anjaar Vizhumiyaar Anjuvar	Theevinai Ennum Serukku
202	தீயவை தீய பயத்தலால் தீயவை	தீயினும் அஞ்சப் படும்.	Since evil begets evil dire  Fear ye evil more than fire	தீயசெயல்கள் தீமையை விளைவிக்கும் தன்மை உடையனவாக இருத்தலால், அத் தீயச் செயல்கள் தீயைவிடக் கொடியனவாகக் கருதி அஞ்சப்படும்.	நமக்கு நன்மை என்று பிறருக்குச் செய்யும் தீமைகள், நமக்குத் தீமையே தருவதால், தீமைகளைத் தீயினும் கொடியனவாக எண்ணிச் செய்ய அஞ்ச வேண்டும்.	தீய செயல்களால் தீமையே விளையும் என்பதால் அச்செயல்களைத் தீயை விடக் கொடுமையானவையாகக் கருதி அவற்றைச் செய்திட அஞ்சிட வேண்டும்	Because evil produces evil, therefore should evil be feared more than fire	Since evils new from evils ever grow,Evil than fire works out more dreaded woe	Theeyavai Theeya Payaththalaal Theeyavai	Theeyinum Anjap Patum
203	அறிவினுள் எல்லாந் தலையென்ப தீய	செறுவார்க்கும் செய்யா விடல்.	The wisest of the wise are those  Who injure not even their foes	தம்மை வருத்துவோர்க்கும் தீய செயல்களைச் செய்யாமலிருத்தலை, அறிவு எல்லாவற்றிலும் தலையான அறிவு என்று கூறுவர்.	தனக்குத் தீமை செய்பவர்க்கும் தீமை செய்யாது இருப்பதே, அறிவில் எல்லாம் முதன்மை அறிவு என்று கூறுவர்.	தீமை செய்தவர்க்கு அதையே திருப்பிச் செய்யாமலிருத்தலை, எல்லா அறிவிலும் முதன்மையான அறிவு என்று போற்றுவர்	So shalt thou wisdom's highest law, 'tis said, fulfil	Even to those that hate make no return of ill;So shalt thou wisdom's highest law, 'tis said, fulfil	Arivinul Ellaan Thalaiyenpa Theeya	Seruvaarkkum Seyyaa Vital
204	மறந்தும் பிறன்கேடு சூழற்க சூழின்	அறஞ்சூழம் சூழ்ந்தவன் கேடு.	His ruin virtue plots who plans  The ruin of another man's	பிறனுக்கு கேட்டைத் தரும் தீய செயல்களை ஒருவன் மறந்தும் கூட எண்ணக்கூடாது, எண்ணினால் எண்ணியவனுக்கு கேடு விளையுமாறு அறம் எண்ணும்.	மறந்தும் பிறர்க்குத் தீமை செய்ய எண்ணாதே; எண்ணினால் எண்ணியவனுக்கு அறக்கடவுளே தீமையைத் தர எண்ணும்.	மறந்தும்கூட மற்றவர்க்குக் கேடு செய்ய நினைக்கக் கூடாது; அப்படி நினைத்தால் அவனுக்குக் கேடு உண்டாக்க அவனை அறம் முற்றுகையிட்டு விடும்	Even though forgetfulness meditate not the ruin of another Virtue will meditate the ruin of him who thus meditates	Though good thy soul forget, plot not thy neighbour's fall,Thy plans shall 'virtue's Power' by ruin to thyself forestall	Marandhum Piranketu Soozharka Soozhin	Aranjoozham Soozhndhavan Ketu
205	இலன் என்று தீயவை செய்யற்க செய்யின்	இலனாகும் மற்றும் பெயர்த்து.	Who makes poverty plea for ill  Shall reduce himself poorer still	யான் வறியவன் என்று நினைத்துத் தீய செயல்களைச் செய்யக்கூடாது, செய்தால் மீண்டும் வறியவன் ஆகி வருந்துவான்.	தன் ஏழ்மையைப் போக்கப் பிறர்க்குத் தீமை செய்யாதே, செய்தால் மேலும் ஏழை ஆவாய்.	வறுமையின் காரணமாக ஒருவன் தீய செயல்களில் ஈடுபடக்கூடாது; அப்படி ஈடுபட்டால் மீண்டும் அவன் வறுமையிலேயே வாட வேண்டியிருக்கும்	Commit not evil, saying, I am poor: if you do, you will become poorer still	Make not thy poverty a plea for ill;Thy evil deeds will make thee poorer still	Ilan Endru Theeyavai Seyyarka	Seyyin Ilanaakum Matrum Peyarththu
206	தீப்பால தான்பிறர்கண் செய்யற்க நோய்ப்பால	தன்னை அடல்வேண்டா தான்.	From wounding others let him refrain  Who would from harm himself remain	துன்பம் செய்யும் தீவினைகள் தன்னை வருத்துதலை விரும்பாதவன், தீயசெயல்களைத் தான் பிறருக்குச் செய்யாமலிருக்க வேண்டும்.	துன்பம் தருவன தன்னைச் சூழ்ந்து வருத்த விரும்பாதவன், பிறர்க்குத் தீமை செய்யக்கூடாது.	வேதனை விளைவிக்கும் தீய செயல்கள் தன்னைத் தாக்கலாகாது என எண்ணுகிறவன் அவனும் அத்தீங்குகளைப் பிறருக்குச் செய்யாமல் இருக்க வேண்டும்	Let him not do evil to others who desires not that sorrows should pursue him	What ranks as evil spare to do, if thou would'st shunAffliction sore through ill to thee by others done	Theeppaala Thaanpirarkan Seyyarka Noippaala	Thannai Atalventaa Thaan
207	எனைப்பகை யுற்றாரும் உய்வர் வினைப்பகை	வீயாது பின்சென்று அடும்.	Men may escape other foes and live  But sin its deadly blow will give	எவ்வளவு கொடிய பகை உடையவரும் தப்பி வாழ முடியும், ஆனால் தீயவை செய்தால் வரும் தீவினையாகிய பகை நீங்காமல் பின் சென்று வருத்தும்.	எவ்வளவு பெரிய பகையைப் பெற்றவரும் தப்பித்துக் கொள்வர்; ஆனால் தீமை செய்வதால் வரும் பகையோ, அழியாமல் நம் பின் வந்து, நம்மை அழிக்கும்.	ஒருவர் நேரடியான பகைக்குத் தப்பி வாழ முடியும்; ஆனால், அவர் செய்யும் தீய வினைகள் பெரும் பகையாகி அவரைத் தொடர்ந்து வருத்திக்கொண்டே இருக்கும்	However great be the enmity men have incurred they may still live The enmity of sin will incessantly pursue and kill	From every enmity incurred there is to 'scape, a way;The wrath of evil deeds will dog men's steps, and slay	Enaippakai Yutraarum Uyvar Vinaippakai	Veeyaadhu Pinsendru Atum
208	தீயவை செய்தார் கெடுதல் நிழல்தன்னை	வீயாது அஇஉறைந் தற்று.	Ruin follows who evil do  As shadow follows as they go	தீய செயல்களைச் செய்தவர் கேட்டை அடைதல், ஒருவனுடைய நிழல் அவனை விடாமல் வந்து அடியில் தங்கியிருத்தலைப் போன்றது.	பிறர்க்குத் தீமை செய்தவர் அழிவது, அவரை அவரது நிழல் விடாது கால்களின் கீழே தங்கியிருப்பது போலாம்.	ஒருவருடைய நிழல் அவருடனேயே ஒன்றியிருப்பதைப்போல், தீய செயல்களில் ஈடுபடுகிறவர்களை விட்டுத் தீமையும் விலகாமல், தொடர்ந்து ஒட்டிக் கொண்டிருக்கும்	Destruction will dwell at the heels of those who commit evil even as their shadow that leaves them not	Man's shadow dogs his steps where'er he wends;Destruction thus on sinful deeds attends	Theeyavai Seydhaar Ketudhal Nizhaldhannai	Veeyaadhu Atiurain Thatru
